Kernel: fc2 (fc2.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 3 valid, 3 pruned
Estimated time: ~0 min (3 configs × ~5s each)

[1/3] -DN_STAGES=3 -DK_LOOP_UNROLL=4 ... 2.043 ms / 2144 TFLOPS  (208 regs, 3.1s)
[2/3] (defaults) ... 1.656 ms / 2645 TFLOPS  (255 regs, 3.1s)
[3/3] -DN_STAGES=5 -DK_LOOP_UNROLL=4 ... 2.406 ms / 1820 TFLOPS  (217 regs, 3.0s)

Tier 1 winner (top-3): (defaults) → 1.656 ms / 2645 TFLOPS
  #2: -DN_STAGES=3 -DK_LOOP_UNROLL=4 → 2.043 ms / 2144 TFLOPS
  #3: -DN_STAGES=5 -DK_LOOP_UNROLL=4 → 2.406 ms / 1820 TFLOPS

=== Tier 2: INTERLEAVE_STRATEGY, MBAR_EARLY, STAGGER_CYCLES, TMEM_LOAD_WIDTH ===
  Branch 1/3: (defaults)
Sweep: 128 total, 128 valid, 0 pruned
Estimated time: ~11 min (128 configs × ~5s each)

[120/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DTMEM_LOAD_WIDTH=64 ... 1.679 ms / 2608 TFLOPS  (255 regs, 3.3s)
[121/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 ... 1.676 ms / 2614 TFLOPS  (254 regs, 3.0s)
[122/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... 1.680 ms / 2608 TFLOPS  (255 regs, 3.2s)
[123/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 ... 1.676 ms / 2613 TFLOPS  (254 regs, 3.0s)
[124/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... 1.682 ms / 2604 TFLOPS  (255 regs, 3.3s)
[125/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 ... 1.678 ms / 2611 TFLOPS  (254 regs, 2.9s)
[126/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... 1.684 ms / 2601 TFLOPS  (255 regs, 3.3s)
[127/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 ... 1.677 ms / 2612 TFLOPS  (254 regs, 2.9s)
[128/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... 1.678 ms / 2610 TFLOPS  (255 regs, 3.2s)
  Branch 2/3: -DN_STAGES=3 -DK_LOOP_UNROLL=4
Sweep: 128 total, 128 valid, 0 pruned
Estimated time: ~11 min (128 configs × ~5s each)

[1/128] -DINTERLEAVE_STRATEGY=0 -DN_STAGES=3 -DSTAGGER_CYCLES=0 -DK_LOOP_UNROLL=4 ... 2.068 ms / 2118 TFLOPS  (206 regs, 3.0s)
[2/128] -DINTERLEAVE_STRATEGY=0 -DN_STAGES=3 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 -DK_LOOP_UNROLL=4 ... 2.085 ms / 2101 TFLOPS  (253 regs, 3.2s)
[3/128] -DINTERLEAVE_STRATEGY=0 -DN_STAGES=3 -DSTAGGER_CYCLES=40 -DK_LOOP_UNROLL=4 ... 2.064 ms / 2122 TFLOPS  (206 regs, 3.0s)
