Kernel: patch_embed (patch_embed.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 3 valid, 3 pruned
Estimated time: ~0 min (3 configs × ~5s each)

[44/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[45/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=160 ... 0.533 ms / 2053 TFLOPS  (206 regs, 3.0s)
[46/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[47/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=200 ... 0.535 ms / 2048 TFLOPS  (206 regs, 3.0s)
[48/128] -DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[49/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 ... 0.535 ms / 2046 TFLOPS  (206 regs, 2.9s)
[50/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[51/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 ... 0.533 ms / 2053 TFLOPS  (208 regs, 3.0s)
[52/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[53/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 ... 0.532 ms / 2058 TFLOPS  (208 regs, 2.9s)
[54/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[55/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 ... 0.535 ms / 2048 TFLOPS  (208 regs, 3.0s)
[56/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[57/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 ... 0.534 ms / 2051 TFLOPS  (208 regs, 3.0s)
[58/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[59/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 ... 0.531 ms / 2060 TFLOPS  (208 regs, 3.0s)
[60/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[61/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 ... 0.531 ms / 2061 TFLOPS  (208 regs, 3.0s)
[62/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[63/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 ... 0.532 ms / 2057 TFLOPS  (208 regs, 3.0s)
[64/128] -DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[65/128] -DSTAGGER_CYCLES=0 ... 0.531 ms / 2063 TFLOPS  (208 regs, 3.0s)
[66/128] -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[67/128] -DSTAGGER_CYCLES=40 ... 0.527 ms / 2078 TFLOPS  (209 regs, 3.0s)
[68/128] -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[69/128] -DSTAGGER_CYCLES=60 ... 0.530 ms / 2068 TFLOPS  (209 regs, 3.0s)
[70/128] -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[71/128] (defaults) ... 0.527 ms / 2078 TFLOPS  (209 regs, 3.0s)
[72/128] -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[73/128] -DSTAGGER_CYCLES=100 ... 0.528 ms / 2074 TFLOPS  (209 regs, 3.0s)
[74/128] -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[75/128] -DSTAGGER_CYCLES=120 ... 0.526 ms / 2080 TFLOPS  (209 regs, 3.0s)
[76/128] -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[77/128] -DSTAGGER_CYCLES=160 ... 0.528 ms / 2076 TFLOPS  (209 regs, 3.0s)
[78/128] -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.4s)
[79/128] -DSTAGGER_CYCLES=200 ... 0.530 ms / 2067 TFLOPS  (209 regs, 2.9s)
