N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,PRELOAD_MODE,PREFETCH_BEFORE_STORE,GELU_VARIANT,TMA_RESIDUAL,regs,spills,smem_kb,ms,tflops,status,dflags
4,4,2,0,32,120,4,1,0,4,0,1,1,0,0,0,214,0,193.0,0.533,2054.74,OK,-DCVT_ADD_FUSED=0 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,2,0,32,120,4,1,0,4,4,1,1,0,0,0,214,0,193.0,0.533,2053.03,OK,-DCVT_ADD_FUSED=0 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,4,1,1,4,0,1,1,0,0,0,214,0,193.0,0.533,2055.17,OK,-DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,1,0,32,40,2,1,1,4,0,0,1,0,0,0,206,0,193.0,0.534,2051.76,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=40
4,4,1,0,32,120,2,1,1,4,0,0,1,0,0,0,206,0,193.0,0.534,2049.02,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=120
4,4,1,1,32,100,2,1,1,4,0,0,1,0,0,0,208,0,193.0,0.534,2050.62,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100
4,4,2,0,32,120,4,0,0,6,4,1,1,0,0,0,214,0,193.0,0.534,2051.36,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,1,0,32,200,2,1,1,4,0,0,1,0,0,0,206,0,193.0,0.535,2047.65,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=200
4,4,1,1,32,0,2,1,1,4,0,0,1,0,0,0,206,0,193.0,0.535,2045.78,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0
4,4,1,1,32,80,2,1,1,4,0,0,1,0,0,0,208,0,193.0,0.535,2048.32,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1
4,4,2,0,32,120,2,1,1,4,4,1,1,0,0,0,165,0,193.0,0.535,2046.32,OK,-DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4
4,4,2,0,32,120,4,0,1,6,0,1,1,0,0,0,214,0,193.0,0.535,2045.1,OK,-DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=1
4,4,1,0,32,0,2,1,1,4,0,0,1,0,0,0,205,0,193.0,0.536,2043.6,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=0
4,4,2,0,32,120,4,0,1,6,0,0,1,0,0,0,222,0,193.0,0.536,2043.96,OK,-DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=120
4,4,2,0,32,120,4,0,1,6,0,3,1,0,0,0,222,0,193.0,0.536,2041.15,OK,-DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3
4,4,2,0,32,120,4,0,0,4,0,3,1,0,0,0,255,0,193.0,0.537,2039.24,OK,-DCVT_ADD_FUSED=0 -DPHASE1_UNROLL=4 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=120 -DSUB_MMA_UNROLL=3
4,4,2,0,32,120,4,0,0,6,0,0,1,0,0,0,222,0,193.0,0.537,2037.95,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=120
