
=== WALL TIME ===
label                                             ms    tflops  valid  regs  bars
fc1_dg16_p_strip                                0.715      1.00x      0.003          ?
fc1_dg24_p_fused                                1.180      1.65x      5.650      0.99x
fc1_dg24_p_gemm                                 1.010      1.41x      5.650      0.99x
fc1_dg24_p_strip                                0.716      1.00x      0.004          ?
fc1_dg32_p_fused                                1.300      1.82x      5.650      0.99x
fc1_dg32_p_gemm                                 1.030      1.44x      5.650      0.99x
fc1_dg32_p_strip                                0.715      1.00x      0.003          ?
fc1_ck2_p_fused                                 1.130      1.58x      5.650      0.99x
fc1_ck2_p_gemm                                  0.852      1.19x      5.660      0.99x
fc1_ck2_p_strip                                 0.715      1.00x      0.003          ?
fc1_ck3_p_fused                                 1.090      1.52x      5.650      0.99x
fc1_ck3_p_gemm                                  0.778      1.09x      5.650      0.99x
fc1_ck3_p_strip                                 0.715      1.00x      0.004          ?
fc1_ck4_p_fused                                 1.080      1.51x      5.650      0.99x
fc1_ck4_p_gemm                                  0.779      1.09x      5.650      0.99x
fc1_ck4_p_strip                                 0.716      1.00x      0.004          ?
fc1_ck5_p_fused                                 1.120      1.57x      5.650      0.99x
fc1_ck5_p_gemm                                  0.848      1.19x      5.660      0.99x
fc1_ck5_p_strip                                 0.715      1.00x      0.003          ?
fc1_ck6_p_fused                                 1.620      2.26x      5.650      0.99x
fc1_ck6_p_gemm                                  0.716      1.00x      5.640      0.99x
fc1_ck6_p_strip                                 0.715      1.00x      0.003          ?
fc1_ck7_p_fused                                 1.600      2.24x      5.650      0.99x
fc1_ck7_p_gemm                                  0.716      1.00x      5.640      0.99x
fc1_ck7_p_strip                                 0.715      1.00x      0.003          ?
fc1_ck8_p_fused                                 1.580      2.21x      5.650      0.99x
fc1_ck8_p_gemm                                  0.716      1.00x      5.640      0.99x
fc1_ck8_p_strip                                 0.716      1.00x      0.004          ?
fc1_ck11_p_fused                                1.580      2.21x      5.650      0.99x
fc1_ck11_p_gemm                                 0.716      1.00x      5.640      0.99x
fc1_ck11_p_strip                                0.715      1.00x      0.003          ?
fc2_default_p_fused                             7.070      1.65x      1.430      1.00x
fc2_default_p_gemm                              4.630      1.08x      1.420      1.00x
fc2_default_p_strip                             5.730      2.01x      0.013          ?
fc2_dgswizzle_p_fused                           5.660      1.32x      1.420      1.00x
fc2_dgswizzle_p_gemm                            3.060      0.71x      1.410      0.99x
fc2_dgswizzle_p_strip                           3.870      1.36x      0.008          ?
fc2_zorder_p_fused                              5.730      1.34x      1.420      1.00x
fc2_zorder_p_gemm                               3.670      0.86x      1.420      1.00x
fc2_zorder_p_strip                              4.630      1.62x      0.011          ?
fc2_hilbert_p_fused                             5.910      1.38x      1.430      1.00x
fc2_hilbert_p_gemm                              3.520      0.82x      1.410      0.99x
fc2_hilbert_p_strip                             4.640      1.63x      0.012          ?
fc2_zigzag_p_fused                              6.050      1.41x      1.430      1.00x
fc2_zigzag_p_gemm                               3.520      0.82x      1.420      1.00x
fc2_zigzag_p_strip                              5.190      1.82x      0.012          ?
fc2_rowmajor_p_fused                            6.100      1.43x      1.420      1.00x
fc2_rowmajor_p_gemm                             3.450      0.81x      1.410      0.99x
fc2_rowmajor_p_strip                            5.090      1.78x      0.012          ?
fc2_ncycle_p_fused                              5.600      1.31x      1.420      1.00x
fc2_ncycle_p_gemm                               3.380      0.79x      1.410      0.99x
fc2_ncycle_p_strip                              2.990      1.05x      0.007          ?
fc2_nflat_p_fused                               5.610      1.31x      1.420      1.00x
fc2_nflat_p_gemm                                3.380      0.79x      1.410      0.99x
fc2_nflat_p_strip                               2.980      1.04x      0.008          ?
fc2_nsnake_p_fused                              5.600      1.31x      1.420      1.00x
fc2_nsnake_p_gemm                               3.390      0.79x      1.410      0.99x
fc2_nsnake_p_strip                              2.970      1.04x      0.007          ?
fc2_nlock_p_fused                               6.390      1.49x      1.420      1.00x
fc2_nlock_p_gemm                                4.390      1.03x      1.420      1.00x
fc2_nlock_p_strip                               5.250      1.84x      0.012          ?
fc2_checkered_p_fused                           5.700      1.33x      1.420      1.00x
fc2_checkered_p_gemm                            3.260      0.76x      1.410      0.99x
fc2_checkered_p_strip                           3.970      1.39x      0.008          ?
