N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,regs,spills,smem_kb,ms,tflops,status,dflags
4,4,2,0,32,100,4,1,1,4,0,0,255,0,192.125,0.532,2059.04,OK,-DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100
4,4,2,0,32,100,4,1,1,6,4,0,222,0,192.125,0.532,2059.84,OK,-DK_LOOP_UNROLL=6 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,4,1,1,8,4,3,255,0,192.125,0.532,2057.15,OK,-DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4
4,4,1,0,32,60,2,1,1,4,0,0,206,0,192.125,0.533,2056.17,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=60
4,4,1,0,32,100,2,1,1,4,0,0,206,0,192.125,0.533,2055.94,OK,-DINTERLEAVE_STRATEGY=1 -DSTAGGER_CYCLES=100
4,4,1,1,32,40,2,1,1,4,0,0,208,0,192.125,0.533,2055.32,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40
4,4,1,1,32,160,2,1,1,4,0,0,208,0,192.125,0.533,2055.94,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160
4,4,1,1,32,200,2,1,1,4,0,0,208,0,192.125,0.533,2054.49,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200
4,4,2,0,32,100,4,1,0,8,4,0,255,0,192.125,0.533,2053.26,OK,-DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=8 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DW0_LOOP_UNROLL=4
4,4,2,0,32,100,2,1,1,4,0,1,165,0,192.125,0.533,2055.63,OK,-DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1
