Kernel: patch_embed (patch_embed.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 5 valid, 1 pruned
Estimated time: ~0 min (5 configs × ~5s each)

[80/128] -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[81/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 ... 0.530 ms / 2067 TFLOPS  (209 regs, 1.6s)
[82/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[83/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 ... 0.530 ms / 2068 TFLOPS  (210 regs, 1.6s)
[84/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[85/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 ... 0.527 ms / 2077 TFLOPS  (210 regs, 1.6s)
[86/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[87/128] -DMBAR_EARLY=1 ... 0.527 ms / 2077 TFLOPS  (210 regs, 1.6s)
[88/128] -DMBAR_EARLY=1 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[89/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 ... 0.529 ms / 2070 TFLOPS  (210 regs, 1.6s)
[90/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[91/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 ... 0.527 ms / 2076 TFLOPS  (210 regs, 1.6s)
[92/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[93/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 ... 0.528 ms / 2075 TFLOPS  (210 regs, 1.6s)
[94/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[95/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 ... 0.529 ms / 2071 TFLOPS  (210 regs, 1.6s)
[96/128] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[97/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=0 ... 0.546 ms / 2005 TFLOPS  (208 regs, 1.6s)
[98/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[99/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=40 ... 0.546 ms / 2007 TFLOPS  (209 regs, 1.6s)
[100/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[101/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=60 ... 0.543 ms / 2016 TFLOPS  (209 regs, 1.6s)
[102/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[103/128] -DINTERLEAVE_STRATEGY=3 ... 0.544 ms / 2013 TFLOPS  (209 regs, 1.6s)
[104/128] -DINTERLEAVE_STRATEGY=3 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[105/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=100 ... 0.544 ms / 2012 TFLOPS  (209 regs, 1.6s)
[106/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[107/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=120 ... 0.543 ms / 2016 TFLOPS  (209 regs, 1.6s)
[108/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[109/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=160 ... 0.546 ms / 2007 TFLOPS  (209 regs, 1.6s)
[110/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[111/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=200 ... 0.548 ms / 1999 TFLOPS  (209 regs, 1.6s)
[112/128] -DINTERLEAVE_STRATEGY=3 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[113/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 ... 0.547 ms / 2000 TFLOPS  (209 regs, 1.6s)
[114/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[115/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 ... 0.546 ms / 2006 TFLOPS  (210 regs, 1.6s)
[116/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[117/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 ... 0.545 ms / 2008 TFLOPS  (210 regs, 1.6s)
[118/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[119/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 ... 0.545 ms / 2008 TFLOPS  (210 regs, 1.6s)
[120/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[121/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 ... 0.547 ms / 2002 TFLOPS  (210 regs, 1.6s)
[122/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[123/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 ... 0.546 ms / 2006 TFLOPS  (210 regs, 1.6s)
[124/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[125/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 ... 0.547 ms / 2003 TFLOPS  (210 regs, 1.6s)
[126/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)
[127/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 ... 0.547 ms / 2001 TFLOPS  (210 regs, 1.6s)
[128/128] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64 ... COMPILE_FAIL  (0.2s)

Tier 2 winner: -DSTAGGER_CYCLES=100 → 0.527 ms / 2079 TFLOPS

=== Tier 3: PHASE1_UNROLL, SNAKE_ORDER, CVT_ADD_FUSED, K_LOOP_UNROLL, W0_LOOP_UNROLL, SUB_MMA_UNROLL ===
Sweep: 540 total, 540 valid, 0 pruned
Estimated time: ~45 min (540 configs × ~5s each)

[1/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=100 ... 0.675 ms / 1623 TFLOPS  (130 regs, 1.6s)
[2/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=100 -DW0_LOOP_UNROLL=1 ... 0.760 ms / 1440 TFLOPS  (111 regs, 1.6s)
[3/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=100 -DW0_LOOP_UNROLL=4 ... 0.664 ms / 1650 TFLOPS  (130 regs, 1.6s)
[4/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 ... 0.702 ms / 1560 TFLOPS  (126 regs, 1.6s)
[5/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=1 ... 0.787 ms / 1391 TFLOPS  (105 regs, 1.6s)
[6/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4 ... 0.702 ms / 1559 TFLOPS  (126 regs, 1.6s)
[7/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3 ... 0.670 ms / 1635 TFLOPS  (130 regs, 1.6s)
[8/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=1 ... 0.771 ms / 1419 TFLOPS  (111 regs, 1.5s)
[9/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=4 ... 0.669 ms / 1637 TFLOPS  (130 regs, 1.6s)
[10/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=100 ... 0.667 ms / 1642 TFLOPS  (130 regs, 1.6s)
[11/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=100 -DW0_LOOP_UNROLL=1 ... 0.767 ms / 1429 TFLOPS  (111 regs, 1.6s)
[12/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=100 -DW0_LOOP_UNROLL=4 ... 0.668 ms / 1639 TFLOPS  (130 regs, 1.6s)
[13/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 ... 0.693 ms / 1580 TFLOPS  (126 regs, 1.6s)
[14/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=1 ... 0.783 ms / 1398 TFLOPS  (105 regs, 1.6s)
[15/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=1 -DW0_LOOP_UNROLL=4 ... 0.705 ms / 1554 TFLOPS  (126 regs, 1.6s)
[16/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3 ... 0.672 ms / 1629 TFLOPS  (130 regs, 1.6s)
[17/540] -DCVT_ADD_FUSED=0 -DK_LOOP_UNROLL=1 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3 -DW0_LOOP_UNROLL=1 ... 0.750 ms / 1460 TFLOPS  (111 regs, 1.6s)
