N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,PRELOAD_MODE,PREFETCH_BEFORE_STORE,GELU_VARIANT,TMA_RESIDUAL,BATCH_EPILOGUE,GELU_VECTOR_WIDTH,STORE_TIMING,regs,spills,smem_kb,ms,tflops,status,dflags
5,4,3,1,32,0,4,1,1,5,0,0,1,0,0,0,0,32,0,244,0,225.0,2.684,1631.79,OK,-DINTERLEAVE_STRATEGY=3 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0
5,4,1,1,32,0,4,1,1,5,0,3,1,0,0,0,1,16,1,247,0,225.0,2.693,1626.21,OK,-DBATCH_EPILOGUE=1 -DGELU_VECTOR_WIDTH=16 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSTORE_TIMING=1 -DSUB_MMA_UNROLL=3
5,4,3,1,32,0,4,1,1,5,0,0,1,1,0,0,0,32,0,248,0,225.0,2.696,1624.51,OK,-DINTERLEAVE_STRATEGY=3 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPREFETCH_BEFORE_STORE=1 -DSTAGGER_CYCLES=0
5,4,3,1,32,0,4,1,1,5,0,3,1,1,0,0,0,32,0,248,0,225.0,2.704,1619.6,OK,-DINTERLEAVE_STRATEGY=3 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPREFETCH_BEFORE_STORE=1 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,3,1,32,0,4,1,1,5,0,3,0,0,0,0,0,32,0,244,0,225.0,2.707,1618.0,OK,-DINTERLEAVE_STRATEGY=3 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DPRELOAD_MODE=0 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,1,1,32,0,4,1,1,5,0,3,1,0,4,0,0,32,0,244,0,225.0,2.709,1616.88,OK,-DGELU_VARIANT=4 -DINTERLEAVE_STRATEGY=1 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,3,1,32,0,4,1,1,5,0,3,1,0,0,0,0,32,0,244,0,225.0,2.714,1613.98,OK,-DINTERLEAVE_STRATEGY=3 -DK_LOOP_UNROLL=5 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0 -DSUB_MMA_UNROLL=3
5,4,3,0,32,40,4,1,1,5,0,0,1,0,0,0,0,32,0,244,0,225.0,2.719,1610.72,OK,-DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=40
5,4,3,1,32,0,4,1,1,5,0,0,1,0,0,0,0,32,0,244,0,225.0,2.72,1610.02,OK,-DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=0
5,4,3,0,32,100,4,1,1,5,0,3,1,0,0,0,0,32,0,244,0,225.0,2.72,1610.23,OK,-DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DPHASE1_UNROLL=4 -DSTAGGER_CYCLES=100 -DSUB_MMA_UNROLL=3
