Kernel: fc1_gelu (fc1_gelu.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 3 valid, 3 pruned
Estimated time: ~0 min (3 configs × ~5s each)

[1/3] -DN_STAGES=3 ... 3.111 ms / 1408 TFLOPS  (204 regs, 6.9s)
[2/3] (defaults) ... 3.069 ms / 1427 TFLOPS  (242 regs, 5.8s)
[3/3] -DN_STAGES=5 ... 3.042 ms / 1440 TFLOPS  (238 regs, 5.9s)
  η²: N_STAGES=1.000

  Gap: 0.89% → k_eff=2 (from 3)

Tier 1 winner (top-3): -DK_LOOP_UNROLL=5 -DN_STAGES=5 → 3.042 ms / 1440 TFLOPS
  #2: (defaults) → 3.069 ms / 1427 TFLOPS
  #3: -DK_LOOP_UNROLL=3 -DN_STAGES=3 → 3.111 ms / 1408 TFLOPS

=== Tier 2: INTERLEAVE_STRATEGY, MBAR_EARLY, STAGGER_CYCLES, TMEM_LOAD_WIDTH ===
  Branch 1/2: -DN_STAGES=5
Sweep: 128 total, 64 valid, 64 pruned
Estimated time: ~5 min (64 configs × ~5s each)

[58/64] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=40 ... 2.803 ms / 1563 TFLOPS  (240 regs, 5.9s)
[59/64] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=60 ... 2.801 ms / 1564 TFLOPS  (240 regs, 6.0s)
[60/64] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 ... 2.788 ms / 1571 TFLOPS  (240 regs, 5.9s)
[61/64] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=100 ... 2.809 ms / 1559 TFLOPS  (240 regs, 5.8s)
[62/64] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=120 ... 2.810 ms / 1559 TFLOPS  (240 regs, 6.0s)
[63/64] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160 ... 2.792 ms / 1569 TFLOPS  (240 regs, 5.9s)
[64/64] -DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200 ... 2.815 ms / 1556 TFLOPS  (240 regs, 6.0s)
  Branch 2/2: (defaults)
Sweep: 128 total, 64 valid, 64 pruned
Estimated time: ~5 min (64 configs × ~5s each)

[1/64] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=0 ... 3.229 ms / 1356 TFLOPS  (242 regs, 6.0s)
[2/64] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=40 ... 3.188 ms / 1374 TFLOPS  (242 regs, 6.1s)
[3/64] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=60 ... 3.209 ms / 1365 TFLOPS  (242 regs, 6.0s)
[4/64] -DINTERLEAVE_STRATEGY=0 ... 3.207 ms / 1366 TFLOPS  (242 regs, 5.9s)
[5/64] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=100 ... 3.237 ms / 1353 TFLOPS  (242 regs, 5.9s)
[6/64] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=120 ... 3.267 ms / 1341 TFLOPS  (242 regs, 5.9s)
[7/64] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=160 ... 3.216 ms / 1362 TFLOPS  (242 regs, 5.9s)
[8/64] -DINTERLEAVE_STRATEGY=0 -DSTAGGER_CYCLES=200 ... 3.210 ms / 1365 TFLOPS  (242 regs, 5.9s)
[9/64] -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 ... 3.110 ms / 1408 TFLOPS  (241 regs, 5.9s)
[10/64] -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 ... 3.241 ms / 1352 TFLOPS  (240 regs, 5.9s)
[11/64] -DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 ... 3.177 ms / 1379 TFLOPS  (240 regs, 5.9s)
