N_STAGES,NUM_EPI_WARPS,INTERLEAVE_STRATEGY,MBAR_EARLY,TMEM_LOAD_WIDTH,STAGGER_CYCLES,PHASE1_UNROLL,SNAKE_ORDER,CVT_ADD_FUSED,K_LOOP_UNROLL,W0_LOOP_UNROLL,SUB_MMA_UNROLL,PRELOAD_MODE,PREFETCH_BEFORE_STORE,regs,spills,smem_kb,ms,tflops,status,dflags
5,4,0,1,64,100,2,1,1,4,0,0,1,0,255,0,224.125,1.533,2856.66,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64
5,4,3,0,64,120,2,1,1,4,0,0,1,0,255,0,224.125,1.533,2857.91,OK,-DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64
5,4,0,1,32,0,2,1,1,4,0,0,1,0,255,0,224.125,1.534,2854.42,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=0
5,4,0,1,64,40,2,1,1,4,0,0,1,0,255,0,224.125,1.534,2855.9,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64
5,4,0,1,64,160,2,1,1,4,0,0,1,0,255,0,224.125,1.534,2855.35,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64
5,4,1,0,64,100,2,1,1,4,0,0,1,0,255,0,224.125,1.534,2854.81,OK,-DINTERLEAVE_STRATEGY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=100 -DTMEM_LOAD_WIDTH=64
5,4,2,0,64,160,2,1,1,4,0,0,1,0,255,0,224.125,1.534,2855.93,OK,-DN_STAGES=5 -DSTAGGER_CYCLES=160 -DTMEM_LOAD_WIDTH=64
5,4,2,1,32,40,2,1,1,4,0,0,1,0,255,0,224.125,1.534,2855.32,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=40
5,4,3,0,64,40,2,1,1,4,0,0,1,0,255,0,224.125,1.534,2854.54,OK,-DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64
5,4,3,1,32,200,2,1,1,4,0,0,1,0,255,0,224.125,1.534,2855.93,OK,-DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200
5,4,2,1,32,200,1,0,0,4,0,1,1,0,177,0,224.125,1.534,2855.39,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=200 -DSUB_MMA_UNROLL=1
5,4,2,1,32,200,1,0,1,4,0,1,1,0,177,0,224.125,1.534,2855.15,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=200 -DSUB_MMA_UNROLL=1
5,4,2,1,32,200,1,0,1,4,0,3,1,0,233,0,224.125,1.534,2855.87,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=200 -DSUB_MMA_UNROLL=3
5,4,0,1,32,100,2,1,1,4,0,0,1,0,255,0,224.125,1.535,2854.21,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=100
5,4,0,1,64,200,2,1,1,4,0,0,1,0,255,0,224.125,1.535,2852.86,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200 -DTMEM_LOAD_WIDTH=64
5,4,3,1,32,0,2,1,1,4,0,0,1,0,254,0,224.125,1.535,2852.74,OK,-DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=0
5,4,3,1,32,120,2,1,1,4,0,0,1,0,255,0,224.125,1.535,2852.85,OK,-DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=120
5,4,3,1,32,160,2,1,1,4,0,0,1,0,255,0,224.125,1.535,2853.46,OK,-DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=160
5,4,2,1,32,200,1,0,0,4,0,0,1,0,233,0,224.125,1.535,2854.32,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=200
5,4,2,1,32,200,1,0,0,4,0,3,1,0,233,0,224.125,1.535,2853.15,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=1 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=200 -DSUB_MMA_UNROLL=3
5,4,0,0,32,40,2,1,1,4,0,0,1,0,255,0,224.125,1.536,2851.74,OK,-DINTERLEAVE_STRATEGY=0 -DN_STAGES=5 -DSTAGGER_CYCLES=40
5,4,0,0,32,100,2,1,1,4,0,0,1,0,255,0,224.125,1.536,2852.38,OK,-DINTERLEAVE_STRATEGY=0 -DN_STAGES=5 -DSTAGGER_CYCLES=100
5,4,0,0,32,120,2,1,1,4,0,0,1,0,255,0,224.125,1.536,2852.08,OK,-DINTERLEAVE_STRATEGY=0 -DN_STAGES=5 -DSTAGGER_CYCLES=120
5,4,0,0,64,120,2,1,1,4,0,0,1,0,255,0,224.125,1.536,2851.28,OK,-DINTERLEAVE_STRATEGY=0 -DN_STAGES=5 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64
5,4,1,0,64,60,2,1,1,4,0,0,1,0,255,0,224.125,1.536,2850.7,OK,-DINTERLEAVE_STRATEGY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64
5,4,3,0,32,0,2,1,1,4,0,0,1,0,254,0,224.125,1.536,2852.17,OK,-DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=0
5,4,2,1,32,200,1,1,0,4,0,0,1,0,233,0,224.125,1.536,2851.71,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=200
5,4,2,1,32,200,1,1,0,4,0,3,1,0,233,0,224.125,1.536,2851.7,OK,-DCVT_ADD_FUSED=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=200 -DSUB_MMA_UNROLL=3
5,4,2,1,32,200,1,1,1,4,0,0,1,0,233,0,224.125,1.536,2852.44,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=200
5,4,2,1,32,200,1,1,1,4,0,3,1,0,233,0,224.125,1.536,2852.39,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DPHASE1_UNROLL=1 -DSTAGGER_CYCLES=200 -DSUB_MMA_UNROLL=3
5,4,2,1,32,200,2,0,1,4,0,1,1,0,226,0,224.125,1.536,2851.44,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSNAKE_ORDER=0 -DSTAGGER_CYCLES=200 -DSUB_MMA_UNROLL=1
5,4,2,1,32,200,2,1,1,4,0,1,1,0,226,0,224.125,1.536,2851.96,OK,-DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=200 -DSUB_MMA_UNROLL=1
5,4,0,1,32,40,2,1,1,4,0,0,1,0,255,0,224.125,1.537,2850.06,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=40
5,4,3,0,64,0,2,1,1,4,0,0,1,0,255,0,224.125,1.537,2850.09,OK,-DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64
5,4,3,0,64,60,2,1,1,4,0,0,1,0,255,0,224.125,1.537,2849.54,OK,-DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64
5,4,3,0,32,160,2,1,1,4,0,0,1,0,255,0,224.125,1.537,2849.83,OK,-DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=160
5,4,0,1,32,120,2,1,1,4,0,0,1,0,255,0,224.125,1.538,2848.72,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=120
5,4,1,1,32,40,2,1,1,4,0,0,1,0,255,0,224.125,1.538,2848.21,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=40
5,4,1,1,64,40,2,1,1,4,0,0,1,0,255,0,224.125,1.538,2847.97,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=40 -DTMEM_LOAD_WIDTH=64
5,4,1,1,64,60,2,1,1,4,0,0,1,0,255,0,224.125,1.538,2848.3,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=60 -DTMEM_LOAD_WIDTH=64
5,4,3,1,32,100,2,1,1,4,0,0,1,0,255,0,224.125,1.538,2847.05,OK,-DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=100
5,4,1,1,64,80,2,1,1,4,0,0,1,0,255,0,224.125,1.539,2845.64,OK,-DINTERLEAVE_STRATEGY=1 -DMBAR_EARLY=1 -DN_STAGES=5 -DTMEM_LOAD_WIDTH=64
5,4,3,0,32,40,2,1,1,4,0,0,1,0,255,0,224.125,1.539,2846.89,OK,-DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=40
5,4,3,0,32,200,2,1,1,4,0,0,1,0,255,0,224.125,1.539,2845.5,OK,-DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=200
5,4,0,1,32,80,2,1,1,4,0,0,1,0,255,0,224.125,1.54,2844.22,OK,-DINTERLEAVE_STRATEGY=0 -DMBAR_EARLY=1 -DN_STAGES=5
5,4,2,0,64,120,2,1,1,4,0,0,1,0,255,0,224.125,1.54,2844.71,OK,-DN_STAGES=5 -DSTAGGER_CYCLES=120 -DTMEM_LOAD_WIDTH=64
5,4,3,0,32,100,2,1,1,4,0,0,1,0,255,0,224.125,1.54,2843.98,OK,-DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=100
5,4,3,0,32,120,2,1,1,4,0,0,1,0,255,0,224.125,1.54,2844.94,OK,-DINTERLEAVE_STRATEGY=3 -DN_STAGES=5 -DSTAGGER_CYCLES=120
5,4,3,1,64,0,2,1,1,4,0,0,1,0,255,0,224.125,1.54,2844.15,OK,-DINTERLEAVE_STRATEGY=3 -DMBAR_EARLY=1 -DN_STAGES=5 -DSTAGGER_CYCLES=0 -DTMEM_LOAD_WIDTH=64
